comparison,group1,group2,group1_n,group2_n,group1_median,group2_median,median_difference,Mann_Whitney_U,p_value,rank_biserial_correlation
ASD vs non_ASD,ASD,Non-ASD,50,50,-2.024426736348977e-05,-4.334346044297312e-05,2.3099193079483347e-05,1648.0,0.006138436024745841,0.3184
Syndromic vs non-syndromic,Syndromic,Non-Syndromic,25,25,-3.119017750310441e-05,-2.426694529925206e-06,-2.8763482973179203e-05,202.0,0.03281712689483408,-0.3536
