gene,panel,syndromic,RG_shift,IPC_shift,direction_pattern,absolute_difference
SRP9,non_ASD,,-6.450585494930802e-05,-8.020251989364624e-05,consistent_away,1.569666494433822e-05
SRSF10,non_ASD,,-4.697974279779321e-05,-4.183312309006176e-05,consistent_away,5.146619707731448e-06
SMYD3,non_ASD,,-3.4200517754805715e-05,-1.0465290032181086e-05,consistent_away,2.3735227722624627e-05
ABI2,non_ASD,,8.71975619093816e-06,-6.092919243706598e-06,opposite_direction,1.4812675434644758e-05
SRSF4,non_ASD,,-2.4537181134105628e-05,8.784562536755448e-06,opposite_direction,3.332174367086107e-05
SNRPG,non_ASD,,-7.23736803925394e-05,-0.0001408685930073,consistent_away,6.84949126147606e-05
UQCRQ,non_ASD,,-6.0807455225321776e-05,-4.2985560316028014e-05,consistent_away,1.782189490929376e-05
LSM7,non_ASD,,-6.403648162446687e-05,-8.180562187643612e-05,consistent_away,1.7769140251969258e-05
BRK1,non_ASD,,-5.510265444531853e-05,-4.501757046855088e-05,consistent_away,1.0085083976767647e-05
CAMLG,non_ASD,,-1.119331280756656e-05,-8.831902982431873e-05,consistent_away,7.712571701675217e-05
BBX,non_ASD,,-3.218143692105522e-05,-4.426884440194189e-05,consistent_away,1.2087407480886674e-05
DDX24,non_ASD,,-4.068778190777931e-05,-5.5206298828125e-05,consistent_away,1.4518516920345686e-05
ANKHD1,non_ASD,,2.275151657123192e-05,4.5938534779591605e-06,consistent_towards,1.8157663093272757e-05
RBBP4,non_ASD,,-5.483496159970906e-05,-5.450835119944946e-06,consistent_away,4.938412647976411e-05
COX8A,non_ASD,,-9.180159550013504e-05,-0.0001074797094124,consistent_away,1.5678113912264964e-05
TCF7L1,non_ASD,,3.903218091746824e-05,4.181021549662606e-05,consistent_towards,2.7780345791578214e-06
PTN,non_ASD,,0.0001509041621767,-4.002253214518229e-05,opposite_direction,0.0001909266943218823
VEZT,non_ASD,,5.922297746437031e-05,1.3426248578057774e-05,consistent_towards,4.579672888631254e-05
PHACTR4,non_ASD,,-5.2516524856154986e-06,-3.850768352377004e-05,consistent_away,3.325603103815454e-05
