panel,count,mean,median,min,max,Q1,Q3,IQR,away_from_VPA,towards_VPA
ASD,50,-2.0493861322429563e-05,-2.024426736348977e-05,-0.0002955868840217,0.0001797080039978,-3.82706023940025e-05,7.911929045689376e-06,4.618253143969188e-05,34,16
non_ASD,50,-4.275719011694456e-05,-4.334346044297312e-05,-0.0001408685930073,5.956490834554037e-05,-7.839846424005951e-05,-1.0072271905693353e-05,6.832619233436616e-05,41,9
