syndromic_group,count,mean,median,min,max,Q1,Q3,IQR,away_from_VPA,towards_VPA
Non-syndromic,25,-6.378221580430695e-06,-1.427384137671434e-05,-0.000239605950837,0.0001748032765845,-3.058084641224386e-05,2.158375886770396e-05,5.216460527994782e-05,16,9
Syndromic,25,1.1319271535263551e-07,3.1891759935316148e-06,-0.0001158430599249,0.0001173355640509,-1.3203913224611248e-05,2.515973518792388e-05,3.836364841253513e-05,12,13
