gene,ensembl_id,panel,sfari_score,syndromic,CTRL_RG_detected_cells,CTRL_RG_detection_percentage,CTRL_IPC_detected_cells,CTRL_IPC_detection_percentage,CTRL_Young_dExN_detected_cells,CTRL_Young_dExN_detection_percentage,Shift_to_goal_end,direction
SETBP1,ENSG00000152217,ASD,1.0,0.0,1192,98.51239669421489,456,99.78118161925602,1307,99.16540212443095,4.699812314220678e-05,towards_VPA
DMRTA2,ENSG00000142700,non_ASD,,,705,58.26446280991735,253,55.36105032822757,294,22.306525037936268,4.320561069331757e-05,towards_VPA
CREBBP,ENSG00000005339,ASD,1.0,1.0,955,78.92561983471074,368,80.52516411378556,1027,77.92109256449166,4.216896860223068e-05,towards_VPA
TCF7L1,ENSG00000152284,non_ASD,,,1061,87.68595041322314,126,27.5711159737418,132,10.015174506828528,3.903218091746824e-05,towards_VPA
DYRK1A,ENSG00000157540,ASD,1.0,1.0,1061,87.68595041322314,384,84.02625820568927,1110,84.2185128983308,3.277338468111478e-05,towards_VPA
TBCK,ENSG00000145348,ASD,1.0,1.0,902,74.54545454545455,352,77.02407002188184,1020,77.38998482549317,3.0204733425283177e-05,towards_VPA
DNMT3A,ENSG00000119772,ASD,1.0,1.0,628,51.900826446281,210,45.951859956236326,703,53.338391502276174,2.7944015551217e-05,towards_VPA
MBD5,ENSG00000204406,ASD,1.0,1.0,1182,97.68595041322314,453,99.12472647702408,1296,98.33080424886192,2.7094426015430915e-05,towards_VPA
DDX3X,ENSG00000215301,ASD,1.0,1.0,851,70.3305785123967,316,69.14660831509846,923,70.03034901365706,2.515973518792388e-05,towards_VPA
ANKHD1,ENSG00000131503,non_ASD,,,1079,89.17355371900827,370,80.96280087527352,976,74.05159332321699,2.275151657123192e-05,towards_VPA
PDGFC,ENSG00000145431,non_ASD,,,836,69.0909090909091,163,35.667396061269145,1059,80.34901365705615,2.2683985471082822e-05,towards_VPA
ASH1L,ENSG00000116539,ASD,1.0,0.0,1110,91.73553719008264,429,93.87308533916848,1250,94.84066767830043,2.163915766814761e-05,towards_VPA
NF1,ENSG00000196712,ASD,1.0,1.0,1157,95.6198347107438,439,96.06126914660832,1279,97.04097116843704,2.1613097879204536e-05,towards_VPA
GIGYF2,ENSG00000204120,ASD,1.0,0.0,967,79.91735537190083,376,82.27571115973741,1067,80.95599393019727,2.158375886770396e-05,towards_VPA
KMT5B,ENSG00000110066,ASD,1.0,0.0,1003,82.89256198347107,395,86.43326039387308,1174,89.07435508345979,1.869250459280628e-05,towards_VPA
NSD1,ENSG00000165671,ASD,1.0,1.0,741,61.239669421487605,263,57.5492341356674,837,63.50531107738998,1.7838493274275665e-05,towards_VPA
USP1,ENSG00000162607,non_ASD,,,748,61.81818181818181,222,48.57768052516411,615,46.66160849772382,1.2596608167682856e-05,towards_VPA
SMARCA1,ENSG00000102038,ASD,1.0,0.0,811,67.02479338842976,223,48.796498905908095,605,45.90288315629742,1.2335628693232116e-05,towards_VPA
TAOK1,ENSG00000160551,ASD,1.0,1.0,1012,83.63636363636364,411,89.93435448577681,1206,91.50227617602428,1.10798730300023e-05,towards_VPA
IRF2BPL,ENSG00000119669,ASD,1.0,1.0,617,50.99173553719008,165,36.10503282275711,821,62.29135053110774,9.828100078984311e-06,towards_VPA
ATF6,ENSG00000118217,non_ASD,,,628,51.90082644628099,231,50.54704595185996,691,52.42792109256449,9.250839551289875e-06,towards_VPA
ABI2,ENSG00000138443,non_ASD,,,1134,93.7190082644628,400,87.527352297593,1227,93.09559939301973,8.71975619093816e-06,towards_VPA
NIPBL,ENSG00000164190,ASD,1.0,1.0,1111,91.8181818181818,426,93.21663019693656,1228,93.17147192716236,5.842005456244195e-06,towards_VPA
CSNK2A1,ENSG00000101266,ASD,1.0,1.0,1079,89.17355371900827,419,91.68490153172868,1208,91.65402124430956,3.1891759935316148e-06,towards_VPA
MTF2,ENSG00000143033,non_ASD,,,980,80.99173553719008,400,87.527352297593,1190,90.28831562974204,2.5324949913153343e-06,towards_VPA
ZNF721,ENSG00000182903,non_ASD,,,931,76.94214876033058,310,67.83369803063457,941,71.39605462822458,2.395588418711787e-06,towards_VPA
ETNK1,ENSG00000139163,non_ASD,,,902,74.54545454545455,308,67.39606126914661,952,72.23065250379362,1.6386761809840349e-06,towards_VPA
ASB3,ENSG00000115239,non_ASD,,,979,80.9090909090909,333,72.86652078774617,1058,80.2731411229135,8.347258786925601e-08,towards_VPA
WAC,ENSG00000095787,ASD,1.0,1.0,1126,93.05785123966942,430,94.09190371991248,1194,90.5918057663126,-8.890795153240824e-07,away_from_VPA
KDM5B,ENSG00000117139,ASD,1.0,0.0,1118,92.39669421487604,450,98.46827133479212,1303,98.8619119878604,-1.9014319952796488e-06,away_from_VPA
NCOA1,ENSG00000084676,ASD,1.0,0.0,1161,95.9504132231405,446,97.5929978118162,1263,95.82701062215476,-2.465645472208659e-06,away_from_VPA
ZNF292,ENSG00000188994,ASD,1.0,1.0,1194,98.67768595041322,457,100.0,1313,99.6206373292868,-3.274379692641385e-06,away_from_VPA
POGZ,ENSG00000143442,ASD,1.0,1.0,1075,88.84297520661157,399,87.30853391684902,1185,89.90895295902884,-3.536892357376704e-06,away_from_VPA
PHACTR4,ENSG00000204138,non_ASD,,,1046,86.44628099173553,416,91.02844638949672,1160,88.01213960546282,-5.2516524856154986e-06,away_from_VPA
PARK7,ENSG00000116288,non_ASD,,,1174,97.02479338842976,446,97.5929978118162,1279,97.04097116843704,-6.835102118985189e-06,away_from_VPA
YY1,ENSG00000100811,ASD,1.0,1.0,979,80.9090909090909,361,78.99343544857769,1102,83.61153262518968,-7.279589240799277e-06,away_from_VPA
RAB7A,ENSG00000075785,non_ASD,,,1020,84.29752066115702,376,82.27571115973743,1127,85.5083459787557,-8.414127509291328e-06,away_from_VPA
CASK,ENSG00000147044,ASD,1.0,0.0,1060,87.60330578512396,418,91.46608315098467,1247,94.61305007587254,-8.999373662332616e-06,away_from_VPA
PPP4R2,ENSG00000163605,non_ASD,,,879,72.64462809917356,321,70.24070021881839,921,69.87860394537178,-9.062448866131364e-06,away_from_VPA
CAMLG,ENSG00000164615,non_ASD,,,1088,89.91735537190083,392,85.77680525164114,1159,87.93626707132019,-1.119331280756656e-05,away_from_VPA
HNRNPU,ENSG00000153187,ASD,1.0,1.0,1166,96.36363636363636,446,97.5929978118162,1274,96.66160849772382,-1.1766734330550484e-05,away_from_VPA
