syndromic_group,count,mean,median,min,max,Q1,Q3,IQR,away_from_VPA,towards_VPA
Non-syndromic,25,-6.8530592497572944e-06,-2.426694529925206e-06,-0.0002955868840217,0.0001797080039978,-3.1401713689168297e-05,2.5528133230865315e-05,5.692984692003361e-05,13,12
Syndromic,25,-3.413466339510183e-05,-3.119017750310441e-05,-0.0001838353215431,2.3018587664299204e-05,-3.852995719698912e-05,-1.0649635367197534e-05,2.7880321829791587e-05,21,4
