panel,count,mean,median,min,max,Q1,Q3,IQR,away_from_VPA,towards_VPA
ASD,50,-3.132514432539031e-06,-2.8700125824250222e-06,-0.000239605950837,0.0001748032765845,-2.6219731129467912e-05,2.163264272091184e-05,4.785237385037975e-05,28,22
non_ASD,50,-1.1044102806942653e-05,-1.986069608692387e-05,-9.180159550013504e-05,0.0001509041621767,-5.246127420166892e-05,1.1760166013584611e-05,6.422144021525354e-05,31,19
