gene,ensembl_id,sfari_score,syndromic
RAI1,ENSG00000108557,1,1
RALGAPB,ENSG00000170471,1,0
RELN,ENSG00000189056,1,0
RERE,ENSG00000142599,1,1
RFX3,ENSG00000080298,1,0
RIMS1,ENSG00000079841,1,0
RNU2-2,ENSG00000222328,1,1
RNU4-2,ENSG00000202538,1,1
RNU5B-1,ENSG00000200156,1,1
RORB,ENSG00000198963,1,1
RUNX1T1,ENSG00000079102,1,0
SATB1,ENSG00000182568,1,1
SATB2,ENSG00000119042,1,1
SCN1A,ENSG00000144285,1,1
SCN2A,ENSG00000136531,1,0
SCN8A,ENSG00000196876,1,0
SETBP1,ENSG00000152217,1,0
SETD1A,ENSG00000099381,1,1
SETD2,ENSG00000181555,1,0
SETD5,ENSG00000168137,1,1
SF1,ENSG00000168066,1,0
SHANK2,ENSG00000162105,1,0
SHANK3,ENSG00000251322,1,1
SIN3A,ENSG00000169375,1,1
SKI,ENSG00000157933,1,0
SLC6A1,ENSG00000157103,1,1
SLC9A6,ENSG00000198689,1,1
SMARCA1,ENSG00000102038,1,0
SMARCA2,ENSG00000080503,1,1
SMARCA4,ENSG00000127616,1,0
SMARCC2,ENSG00000139613,1,1
SON,ENSG00000159140,1,1
SOS2,ENSG00000100485,1,0
SOX5,ENSG00000134532,1,1
SPAST,ENSG00000021574,1,0
SRCAP,ENSG00000080603,1,0
SRPRA,ENSG00000182934,1,0
STXBP1,ENSG00000136854,1,1
SYN1,ENSG00000008056,1,0
SYNGAP1,ENSG00000197283,1,1
TANC2,ENSG00000170921,1,1
TAOK1,ENSG00000160551,1,1
TBCEL,ENSG00000154114,1,0
TBCK,ENSG00000145348,1,1
TBL1XR1,ENSG00000177565,1,0
TBR1,ENSG00000136535,1,0
TCF20,ENSG00000100207,1,1
TCF4,ENSG00000196628,1,1
TCF7L2,ENSG00000148737,1,0
TEK,ENSG00000120156,1,0
TLE3,ENSG00000140332,1,0
TLK2,ENSG00000146872,1,1
TM9SF4,ENSG00000101337,1,0
TRAF7,ENSG00000131653,1,1
TRIM23,ENSG00000113595,1,0
TRIO,ENSG00000038382,1,0
TRIP12,ENSG00000153827,1,1
TRRAP,ENSG00000196367,1,1
TSC1,ENSG00000165699,1,1
TSC2,ENSG00000103197,1,1
TSHZ1,ENSG00000179981,1,0
TSHZ3,ENSG00000121297,1,0
UBAP2L,ENSG00000143569,1,0
UBE3A,ENSG00000114062,1,1
UBR1,ENSG00000159459,1,0
UPF3B,ENSG00000125351,1,1
USP9X,ENSG00000124486,1,1
VEZF1,ENSG00000136451,1,0
VPS13B,ENSG00000132549,1,1
WAC,ENSG00000095787,1,1
WDFY3,ENSG00000163625,1,0
YY1,ENSG00000100811,1,1
ZBTB20,ENSG00000181722,1,1
ZBTB21,ENSG00000173276,1,0
ZMYND8,ENSG00000101040,1,1
ZNF292,ENSG00000188994,1,1
ZNF462,ENSG00000148143,1,1
ZNF865,ENSG00000261221,1,0
