gene,ensembl_id,panel,sfari_score,syndromic,CTRL_RG_detected_cells,CTRL_RG_detection_percentage,CTRL_IPC_detected_cells,CTRL_IPC_detection_percentage,CTRL_Young_dExN_detected_cells,CTRL_Young_dExN_detection_percentage
SEC61G,ENSG00000132432,non_ASD,,,1167,96.44628099173552,446,97.5929978118162,1285,97.49620637329286
SRP9,ENSG00000143742,non_ASD,,,1166,96.36363636363636,440,96.2800875273523,1292,98.02731411229136
SRSF10,ENSG00000188529,non_ASD,,,1161,95.9504132231405,434,94.9671772428884,1213,92.03338391502275
SMYD3,ENSG00000185420,non_ASD,,,1157,95.6198347107438,423,92.5601750547046,1274,96.66160849772383
ABI2,ENSG00000138443,non_ASD,,,1134,93.7190082644628,400,87.527352297593,1227,93.09559939301973
SRSF4,ENSG00000116350,non_ASD,,,1126,93.05785123966942,406,88.8402625820569,1155,87.63277693474963
SNRPG,ENSG00000143977,non_ASD,,,1118,92.39669421487604,401,87.74617067833698,1157,87.78452200303491
UQCRQ,ENSG00000164405,non_ASD,,,1113,91.98347107438016,431,94.31072210065643,1274,96.66160849772383
LSM7,ENSG00000130332,non_ASD,,,1111,91.81818181818184,420,91.90371991247264,1184,89.83308042488619
BRK1,ENSG00000254999,non_ASD,,,1109,91.65289256198346,423,92.5601750547046,1238,93.93019726858876
CAMLG,ENSG00000164615,non_ASD,,,1088,89.91735537190083,392,85.77680525164114,1159,87.93626707132019
BBX,ENSG00000114439,non_ASD,,,1087,89.83471074380165,413,90.37199124726476,926,70.25796661608497
DDX24,ENSG00000089737,non_ASD,,,1082,89.42148760330578,436,95.40481400437638,1281,97.1927162367223
ANKHD1,ENSG00000131503,non_ASD,,,1079,89.17355371900827,370,80.96280087527352,976,74.05159332321699
RBBP4,ENSG00000162521,non_ASD,,,1080,89.25619834710744,402,87.96498905908096,1177,89.3019726858877
COX8A,ENSG00000176340,non_ASD,,,1075,88.84297520661157,404,88.40262582056893,1230,93.32321699544764
TCF7L1,ENSG00000152284,non_ASD,,,1061,87.68595041322314,126,27.5711159737418,132,10.015174506828528
PTN,ENSG00000105894,non_ASD,,,1060,87.60330578512396,203,44.42013129102845,475,36.03945371775417
VEZT,ENSG00000028203,non_ASD,,,1051,86.85950413223141,434,94.9671772428884,1262,95.75113808801214
PHACTR4,ENSG00000204138,non_ASD,,,1046,86.44628099173553,416,91.02844638949672,1160,88.01213960546282
RAB7A,ENSG00000075785,non_ASD,,,1020,84.29752066115702,376,82.27571115973743,1127,85.5083459787557
RAB1A,ENSG00000138069,non_ASD,,,1012,83.63636363636363,393,85.99562363238512,1176,89.22610015174507
LARS1,ENSG00000133706,non_ASD,,,1003,82.89256198347107,311,68.05251641137856,993,75.34142640364189
CAPZB,ENSG00000077549,non_ASD,,,997,82.39669421487604,367,80.30634573304157,1123,85.20485584218514
MTF2,ENSG00000143033,non_ASD,,,980,80.99173553719008,400,87.527352297593,1190,90.28831562974204
ASB3,ENSG00000115239,non_ASD,,,979,80.9090909090909,333,72.86652078774617,1058,80.2731411229135
DGUOK,ENSG00000114956,non_ASD,,,967,79.91735537190083,355,77.68052516411379,1091,82.77693474962064
PFN2,ENSG00000070087,non_ASD,,,959,79.25619834710744,333,72.86652078774617,954,72.3823975720789
ZCCHC17,ENSG00000121766,non_ASD,,,956,79.00826446280992,277,60.61269146608315,1016,77.08649468892261
ZNF721,ENSG00000182903,non_ASD,,,931,76.94214876033058,310,67.83369803063457,941,71.39605462822458
ETNK1,ENSG00000139163,non_ASD,,,902,74.54545454545455,308,67.39606126914661,952,72.23065250379362
PPP4R2,ENSG00000163605,non_ASD,,,879,72.64462809917356,321,70.24070021881839,921,69.87860394537178
YAF2,ENSG00000015153,non_ASD,,,871,71.98347107438016,328,71.77242888402627,913,69.27162367223065
MARCHF1,ENSG00000145416,non_ASD,,,851,70.33057851239668,370,80.96280087527352,1165,88.39150227617603
PDGFC,ENSG00000145431,non_ASD,,,836,69.0909090909091,163,35.667396061269145,1059,80.34901365705615
MIER1,ENSG00000198160,non_ASD,,,811,67.02479338842974,223,48.796498905908095,768,58.2701062215478
NIFK,ENSG00000155438,non_ASD,,,802,66.28099173553719,246,53.82932166301969,773,58.649468892261005
KLHL24,ENSG00000114796,non_ASD,,,757,62.56198347107438,400,87.527352297593,1164,88.31562974203338
USP1,ENSG00000162607,non_ASD,,,748,61.81818181818181,222,48.57768052516411,615,46.66160849772382
MAP3K2,ENSG00000169967,non_ASD,,,741,61.239669421487605,271,59.29978118161926,883,66.99544764795145
UBE4B,ENSG00000130939,non_ASD,,,717,59.25619834710744,285,62.36323851203501,870,66.00910470409713
DMRTA2,ENSG00000142700,non_ASD,,,705,58.26446280991735,253,55.36105032822757,294,22.306525037936268
ATF6,ENSG00000118217,non_ASD,,,628,51.90082644628099,231,50.54704595185996,691,52.42792109256449
KIAA0319L,ENSG00000142687,non_ASD,,,617,50.99173553719009,202,44.201312910284464,627,47.57207890743551
